,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil
24,26,13,"colombo, sri lanka",sinhalese5,sinhalese,female,1789,sri lanka,TRUE,,,,1,1
25,21,10,"eischoll, switzerland",swiss,swiss,male,493,switzerland,TRUE,,,,1,1
26,42,14,"winterthur, switzerland",swiss,swiss,female,682,switzerland,TRUE,,,,1,1
27,30,13,"muri, aargau, switzerland",swiss,swiss,male,853,switzerland,TRUE,,,,1,1
28,24,14,"bern, switzerland",swiss,swiss,male,1485,switzerland,TRUE,,,,1,1
29,34,8,"uster, switzerland",swiss,swiss,male,1968,switzerland,TRUE,,,,1,1
30,37,25,"baucau, timor-leste",tetun-dili1,tetun-dili,female,1001,timor-leste,TRUE,,,,1,1
31,38,4,"madang, madang province, papua new guinea",tok,tok,male,380,papua new guinea,TRUE,,,,1,1
32,27,9,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,FALSE,,,,0.188405797,0.275585284
33,40,5,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,FALSE,,,,0,0
34,43,4,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,FALSE,,,,0.014492754,0.028775467
35,26,8,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,FALSE,,,,0.014492754,0.028775467
36,19,6,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,FALSE,,,,0.086956522,0.139676539
37,25,15,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,FALSE,,,,0.217391304,0.378516624
38,41,5,"accra, ghana",akan1,akan,male,979,ghana,FALSE,,,,0.101449275,0.17826087
39,19,6,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,FALSE,,,,0.072463768,0.083690549
40,33,15,"tirana, albania",albanian2,albanian,male,5,albania,FALSE,,,,0.086956522,0.151966874
41,44,35,"tirana, albania",albanian3,albanian,male,458,albania,FALSE,,,,0.072463768,0.139676539
42,33,28,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,FALSE,,,,0.130434783,0.129681912
43,31,11,"vlore, albania",albanian5,albanian,male,946,albania,FALSE,,,,0.217391304,0.36462928
44,25,11,"prishtina, kosovo",albanian6,albanian,female,1081,kosovo,FALSE,,,,0.144927536,0.172542107
45,45,11,"prishtina, kosovo",albanian7,albanian,female,1403,kosovo,FALSE,,,,0,0
46,43,9,"prishtina, kosovo",albanian8,albanian,female,1404,kosovo,FALSE,,,,0.057971014,0.069243156
47,22,6,"tirana, albania",albanian9,albanian,female,1706,albania,FALSE,,,,0.014492754,0.028775467
48,37,32,"tata, morocco",amazigh1,amazigh,male,601,morocco,FALSE,,,,0.246376812,0.415098421
49,39,16,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,FALSE,,,,0.173913043,0.293425751
50,20,5,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,FALSE,,,,0.362318841,0.529198636
51,29,19,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,FALSE,,,,0.231884058,0.4099979
52,24,17,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,FALSE,,,,0.115942029,0.18983466
53,26,15,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,FALSE,,,,0.246376812,0.359869361
54,28,6,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,FALSE,,,,0.101449275,0.166351607
55,31,12,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,FALSE,,,,0.231884058,0.308914036
56,23,6,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,FALSE,,,,0.275362319,0.445652174
57,36,11,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,FALSE,,,,0.188405797,0.31758034
58,21,9,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,FALSE,,,,0.115942029,0.218441504
59,20,2,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,FALSE,,,,0,0
60,19,10,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,FALSE,,,,0.043478261,0.071611253
61,23,7,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,FALSE,,,,0.275362319,0.358504958
62,52,24,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,FALSE,,,,0.217391304,0.329192547
63,27,8,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,FALSE,,,,0.347826087,0.542288557
64,20,7,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,FALSE,,,,0.347826087,0.536021844
65,31,7,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,FALSE,,,,0.173913043,0.268851082
66,31,4,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,FALSE,,,,0.115942029,0.218441504
67,38,13,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,FALSE,,,,0.014492754,0.028775467
68,30,12,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,FALSE,,,,0.304347826,0.449862906
69,40,12,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,FALSE,,,,0.536231884,0.597695128
70,38,12,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,FALSE,,,,0.15942029,0.23561704
71,26,5,"cairo, egypt",arabic10,arabic,male,12,egypt,FALSE,,,,0.043478261,0.041666667
72,40,10,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,FALSE,,,,0.057971014,0.086091283
73,21,10,"doha, qatar",arabic101,arabic,male,2160,qatar,FALSE,,,,0.101449275,0.149557166
74,22,3,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,FALSE,,,,0.043478261,0.085066163
75,30,14,"monastir, tunisia",arabic11,arabic,female,13,tunisia,FALSE,,,,0.144927536,0.22128488
76,32,11,"baghdad, iraq",arabic12,arabic,male,14,iraq,FALSE,,,,0.057971014,0.086091283
77,25,15,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,FALSE,,,,0.144927536,0.215350071
78,47,11,"amman, jordan",arabic14,arabic,male,428,jordan,FALSE,,,,0.15942029,0.258098892
79,40,33,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,FALSE,,,,0.289855072,0.344814606
80,22,16,"meknes, morocco",arabic16,arabic,male,471,morocco,FALSE,,,,0.15942029,0.279296066
81,35,15,"settat, morocco",arabic17,arabic,male,512,morocco,FALSE,,,,0.043478261,0.070600414
82,18,6,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,FALSE,,,,0.086956522,0.151966874
83,43,18,"khouribga, morocco",arabic19,arabic,male,625,morocco,FALSE,,,,0.15942029,0.251006441
84,18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,FALSE,,,,0.028985507,0.042650104
85,36,12,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,FALSE,,,,0.043478261,0.071611253
86,46,30,"beirut, lebanon",arabic21,arabic,female,670,lebanon,FALSE,,,,0,0
87,23,10,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,FALSE,,,,0.15942029,0.268851082
88,42,13,"al mahalla, egypt",arabic23,arabic,male,927,egypt,FALSE,,,,0.014492754,0.028775467
89,40,7,"cairo, egypt",arabic24,arabic,male,970,egypt,FALSE,,,,0.31884058,0.470426949
90,38,5,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),FALSE,,,,0.043478261,0.056133905
91,43,14,"amman, jordan",arabic26,arabic,female,1012,jordan,FALSE,,,,0.217391304,0.322866345
92,70,10,"jerusalem, israel",arabic27,arabic,male,1013,israel,FALSE,,,,0.260869565,0.382527046
93,30,12,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,FALSE,,,,1.739130435,0.740289855
94,19,17,"doha, qatar",arabic29,arabic,male,1116,qatar,FALSE,,,,0.405797101,0.535488666
95,24,9,"doha, qatar",arabic3,arabic,male,17,qatar,FALSE,,,,0.231884058,0.350724638
96,19,8,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,FALSE,,,,0.173913043,0.23684733
97,47,12,"baghdad, iraq",arabic31,arabic,female,1181,iraq,FALSE,,,,0.188405797,0.279296066
98,42,12,"baghdad, iraq",arabic32,arabic,male,1203,iraq,FALSE,,,,0.115942029,0.163911002
99,28,11,"baghdad, iraq",arabic33,arabic,female,1204,iraq,FALSE,,,,0.15942029,0.254658385
100,34,6,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,FALSE,,,,0.014492754,0.028775467
101,56,16,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,FALSE,,,,0.260869565,0.39110306
102,36,6,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,FALSE,,,,0.130434783,0.18983466
103,18,16,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,FALSE,,,,0.072463768,0.113995241
104,19,9,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,FALSE,,,,0.028985507,0.043265132
105,22,5,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,FALSE,,,,0.260869565,0.396273292
106,19,6,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,FALSE,,,,0.130434783,0.204140787
107,19,13,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,FALSE,,,,0.173913043,0.293425751
108,25,7,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,FALSE,,,,0.173913043,0.261266627
109,21,13,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,FALSE,,,,0.449275362,0.632916419
110,29,8,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,FALSE,,,,0.086956522,0.154092072
111,29,7,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,FALSE,,,,0.057971014,0.098136646
112,32,12,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,FALSE,,,,0.130434783,0.229606625
113,28,13,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,FALSE,,,,0.15942029,0.201086957
114,39,16,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,FALSE,,,,1,1
115,29,12,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,FALSE,,,,0.246376812,0.396273292
116,26,8,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,FALSE,,,,0.057971014,0.11258139
117,19,15,"casablanca, morocco",arabic5,arabic,female,19,morocco,FALSE,,,,0.072463768,0.125258799
118,36,22,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,FALSE,,,,0.231884058,0.368760064
119,23,12,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,FALSE,,,,0.028985507,0.042650104
120,21,9,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,FALSE,,,,0,0
121,36,17,"rabat, morocco",arabic53,arabic,male,1526,morocco,FALSE,,,,0.115942029,0.146886016
122,22,7,"baghdad, iraq",arabic54,arabic,male,1565,iraq,FALSE,,,,0.014492754,0.028775467
123,70,33,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,FALSE,,,,0.144927536,0.240457236
124,43,12,"ain defla, algeria",arabic56,arabic,male,1677,algeria,FALSE,,,,0.043478261,0.085066163
125,28,17,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,FALSE,,,,0.086956522,0.137579098
126,34,9,"baghdad, iraq",arabic58,arabic,male,1700,iraq,FALSE,,,,0.173913043,0.289446826
127,55,9,"irbid, jordan",arabic59,arabic,male,1702,jordan,FALSE,,,,0.043478261,0.070600414
128,21,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,FALSE,,,,0.188405797,0.31758034
129,60,14,"cairo, egypt",arabic60,arabic,male,1711,egypt,FALSE,,,,0.057971014,0.099531117
130,20,7,"manama, bahrain",arabic61,arabic,male,1753,bahrain,FALSE,,,,0.072463768,0.125258799
131,19,18,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,FALSE,,,,0.130434783,0.218441504
132,28,10,"bani walid, libya",arabic63,arabic,female,1769,libya,FALSE,,,,0.086956522,0.123188406
133,23,6,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,FALSE,,,,0.043478261,0.071611253
134,32,10,"samail, oman",arabic65,arabic,female,1778,oman,FALSE,,,,0.15942029,0.279296066
135,50,14,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,FALSE,,,,0.130434783,0.232736573
136,43,22,"nasriah, iraq",arabic67,arabic,male,1785,iraq,FALSE,,,,0.15942029,0.240457236
137,20,6,"london, uk",arabic68,arabic,male,1805,uk,FALSE,,,,0.086956522,0.137579098
138,55,15,"kerma, sudan",arabic69,arabic,female,1810,sudan,FALSE,,,,0.289855072,0.464659978
139,18,15,"casablanca, morocco",arabic7,arabic,female,21,morocco,FALSE,,,,0.072463768,0.113995241
140,47,16,"casablanca, morocco",arabic70,arabic,male,1827,morocco,FALSE,,,,0.188405797,0.283034953
141,29,21,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,FALSE,,,,0.014492754,0.028775467
142,20,11,"baghdad, iraq",arabic72,arabic,female,1832,iraq,FALSE,,,,0.144927536,0.243856333
143,47,7,"nazareth, israel",arabic73,arabic,female,1841,israel,FALSE,,,,0.014492754,0.028775467
144,18,4,"alexandria, egypt",arabic74,arabic,male,1870,egypt,FALSE,,,,0.115942029,0.180733163
145,26,2,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,FALSE,,,,0.028985507,0.042650104
146,25,4,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,FALSE,,,,0.057971014,0.083690549
147,18,4,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,FALSE,,,,0.043478261,0.070600414
148,19,3,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,FALSE,,,,0,0
149,24,13,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,FALSE,,,,0.130434783,0.209486166
150,21,17,"casablanca, morocco",arabic8,arabic,male,22,morocco,FALSE,,,,0.086956522,0.14146658
151,25,11,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,FALSE,,,,0.289855072,0.380434783
152,22,17,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,FALSE,,,,0.043478261,0.085066163
153,42,12,"damascus, syria",arabic82,arabic,male,1917,syria,FALSE,,,,0.115942029,0.166351607
154,22,21,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,FALSE,,,,0.217391304,0.369240753
155,26,12,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,FALSE,,,,0.101449275,0.151966874
156,24,14,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,FALSE,,,,0.043478261,0.071611253
157,28,3,"cairo, egypt",arabic86,arabic,male,1964,egypt,FALSE,,,,0,0
158,49,10,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,FALSE,,,,0.115942029,0.192606595
159,19,4,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,FALSE,,,,0.028985507,0.057130855
160,35,19,"baghdad, iraq",arabic89,arabic,female,2022,iraq,FALSE,,,,0.130434783,0.18983466
161,28,4,"jerusalem, israel",arabic9,arabic,female,23,israel,FALSE,,,,0.014492754,0.028775467
162,23,12,"tripoli, libya",arabic90,arabic,female,2036,libya,FALSE,,,,0.246376812,0.363689777
163,57,12,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,FALSE,,,,0.449275362,0.577325261
164,36,10,"baghdad, iraq",arabic92,arabic,male,2087,iraq,FALSE,,,,0.130434783,0.22128488
165,27,10,"baghdad, iraq",arabic93,arabic,female,2112,iraq,FALSE,,,,0.115942029,0.17826087
166,24,9,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,FALSE,,,,0.072463768,0.110838947
167,31,10,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,FALSE,,,,0.101449275,0.1685053
168,21,7,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,FALSE,,,,0.347826087,0.312001303
169,19,4,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,FALSE,,,,0.173913043,0.31758034
170,19,4,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,FALSE,,,,0.231884058,0.359683794
171,25,16,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,FALSE,,,,0.072463768,0.139676539
172,19,9,"yerevan, armenia",armenian1,armenian,female,24,armenia,FALSE,,,,0.188405797,0.321652607
173,44,7,"tehran, iran",armenian2,armenian,female,435,iran,FALSE,,,,0.057971014,0.099531117
174,54,12,"yerevan, armenia",armenian3,armenian,female,849,armenia,FALSE,,,,0.101449275,0.180733163
175,27,12,"tbilisi, republic of georgia",armenian4,armenian,female,947,republic of georgia,FALSE,,,,0.101449275,0.1685053
176,21,15,"yerevan, armenia",armenian5,armenian,female,997,armenia,FALSE,,,,0.043478261,0.057754705
177,23,11,"armavir, russia",armenian6,armenian,male,1228,russia,FALSE,,,,0.260869565,0.4099979
178,31,10,"tehran, iran",armenian7,armenian,male,1505,iran,FALSE,,,,0.086956522,0.151966874
179,50,35,"yerevan, armenia",armenian8,armenian,female,1710,armenia,FALSE,,,,0.246376812,0.378516624
180,42,1,"accra, ghana",ashanti1,ashanti,female,1977,ghana,FALSE,,,,0.144927536,0.23561704
181,24,14,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan,FALSE,,,,0.043478261,0.085066163
182,42,40,"baku, azerbaijan",azerbaijani2,azerbaijani,female,434,azerbaijan,FALSE,,,,0.31884058,0.443935927
183,31,16,"baku, azerbaijan",azerbaijani3,azerbaijani,male,1791,azerbaijan,FALSE,,,,0.115942029,0.182916118
184,40,30,"douala, cameroon",bafang1,bafang,male,26,cameroon,FALSE,,,,0.260869565,0.428853755
185,38,6,"douala, cameroon",bafang2,bafang,male,992,cameroon,FALSE,,,,0.304347826,0.452601568
186,31,29,"conakry, guinea",baga1,baga,male,27,guinea,FALSE,,,,0.173913043,0.286561265
187,43,40,"jianchuan, yunnan, china",bai1,bai,female,28,china,FALSE,,,,0.420289855,0.578756674
188,15.5,12,"bamako, mali",bambara1,bambara,female,29,mali,FALSE,,,,0.130434783,0.209486166
189,26,18,"bamako, mali",bambara2,bambara,female,30,mali,FALSE,,,,0.115942029,0.206947997
190,22,12,"bamako, mali",bambara3,bambara,male,413,mali,FALSE,,,,0.31884058,0.482401656
191,26,14,"goudiri, senegal",bambara4,bambara,male,787,senegal,FALSE,,,,0.376811594,0.58129529
192,23,21,"segou, mali",bambara5,bambara,female,969,mali,FALSE,,,,0.884057971,0.59754738
193,31,15,"foumban, cameroon",bamun1,bamun,female,31,cameroon,FALSE,,,,0.15942029,0.258098892
194,34,6,"khartoum, sudan",bari1,bari,male,1029,sudan,FALSE,,,,0.188405797,0.27124951
195,36,7,"khartoum, sudan",bari2,bari,male,1030,sudan,FALSE,,,,0.130434783,0.215350071
196,69,34,"vizcaya, spain",basque1,basque,female,32,spain,FALSE,,,,0.333333333,0.37716944
197,50,19,"guernica, spain",basque2,basque,male,33,spain,FALSE,,,,0.101449275,0.1685053
198,54,10,"erding, bavaria, germany",bavarian1,bavarian,female,687,germany,FALSE,,,,0.246376812,0.392385897
199,52,10,"berchtesgaden, germany",bavarian2,bavarian,female,1045,germany,FALSE,,,,0.014492754,0.028775467
200,25,11,"chamiancy, vilejka, belarus",belarusan1,belarusan,male,417,belarus,FALSE,,,,0.057971014,0.11258139
201,43,12,"minsk, belarus",belarusan2,belarusan,female,650,belarus,FALSE,,,,0.275362319,0.428853755
202,18,6,"gomel, belarus",belarusan3,belarusan,male,2166,belarus,FALSE,,,,0.072463768,0.127024723
203,23,16,"dhaka, bangladesh",bengali1,bengali,male,34,bangladesh,FALSE,,,,0.15942029,0.279296066
204,18,3,"dhaka, bangladesh",bengali10,bengali,female,1009,bangladesh,FALSE,,,,0.043478261,0.071611253
205,34,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,FALSE,,,,0.014492754,0.028775467
206,25,4,"sylhet, bangladesh",bengali12,bengali,female,1682,bangladesh,FALSE,,,,0.130434783,0.215350071
207,33,10,"dhaka, bangladesh",bengali13,bengali,female,1825,bangladesh,FALSE,,,,0.057971014,0.083690549
208,26,4,"kolkata, india",bengali14,bengali,male,1973,india,FALSE,,,,0.173913043,0.268851082
209,46,8,"dhaka, bangladesh",bengali15,bengali,female,2004,bangladesh,FALSE,,,,0.072463768,0.113995241
210,24,6,"dhaka, bangladesh",bengali16,bengali,female,2073,bangladesh,FALSE,,,,0.057971014,0.070600414
211,19,6,"sylhet, bangladesh",bengali17,bengali,female,2139,bangladesh,FALSE,,,,0,0
212,25,2,"lusaka, zambia",bengali2,bengali,female,35,zambia,FALSE,,,,0.057971014,0.099531117
213,19,5,"dhaka, bangladesh",bengali3,bengali,female,36,bangladesh,FALSE,,,,0.043478261,0.085066163
214,24,6,"chittagong, bangladesh",bengali4,bengali,male,37,bangladesh,FALSE,,,,0.217391304,0.350724638
215,40,5,"dhaka, bangladesh",bengali5,bengali,female,622,bangladesh,FALSE,,,,0.057971014,0.099531117
216,29,4,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,FALSE,,,,0,0
217,49,6,"mymensingh, bangladesh",bengali7,bengali,male,710,bangladesh,FALSE,,,,0.043478261,0.085066163
218,54,5,"noakhali, bangladesh",bengali8,bengali,male,709,bangladesh,FALSE,,,,0.275362319,0.421083979
219,61,12,"kolkata, india",bengali9,bengali,female,987,india,FALSE,,,,0.52173913,0.561594203
220,39,37,"doboj, bosnia and herzegovina",bosnian1,bosnian,male,38,bosnia and herzegovina,FALSE,,,,0.347826087,0.52217175
221,21,10,"sarajevo, bosnia and herzegovina",bosnian2,bosnian,male,39,bosnia and herzegovina,FALSE,,,,0.869565217,0.981657609
222,25,12,"sarajevo, bosnia and herzegovina",bosnian3,bosnian,female,808,bosnia and herzegovina,FALSE,,,,0.101449275,0.17826087
223,20,11,"travnik, bosnia and herzegovina",bosnian4,bosnian,male,943,bosnia and herzegovina,FALSE,,,,0,0
224,25,6,"travnik, bosnia and herzegovina",bosnian5,bosnian,female,944,bosnia and herzegovina,FALSE,,,,0.014492754,0.014285714
225,29,22,"zenica, bosnia and herzegovina",bosnian6,bosnian,female,1025,bosnia and herzegovina,FALSE,,,,0.057971014,0.098136646
226,24,10,"gornji vakuf, bosnia and herzegovina",bosnian7,bosnian,female,1058,bosnia and herzegovina,FALSE,,,,0.101449275,0.123188406
227,24,15,"sarajevo, bosnia and herzegovina",bosnian8,bosnian,female,1082,bosnia and herzegovina,FALSE,,,,0.130434783,0.229606625
228,47,5,"sarajevo, bosnia and herzegovina",bosnian9,bosnian,male,1289,bosnia and herzegovina,FALSE,,,,0.115942029,0.182916118
229,25,16,"plovdiv, bulgaria",bulgarian1,bulgarian,female,40,bulgaria,FALSE,,,,0.043478261,0.085066163
230,21,15,"dobrich, bulgaria",bulgarian10,bulgarian,female,965,bulgaria,FALSE,,,,0.130434783,0.206947997
231,24,16,"dobrich, bulgaria",bulgarian11,bulgarian,male,966,bulgaria,FALSE,,,,0.072463768,0.11258139
232,30,9,"sofia, bulgaria",bulgarian12,bulgarian,female,1446,bulgaria,FALSE,,,,0.115942029,0.204140787
233,20,9,"chirpan, bulgaria",bulgarian13,bulgarian,male,1512,bulgaria,FALSE,,,,0.072463768,0.125258799
234,46,30,"sofia, bulgaria",bulgarian14,bulgarian,male,1611,bulgaria,FALSE,,,,0.942028986,0.995540691
235,22,10,"varna, bulgaria",bulgarian15,bulgarian,male,1859,bulgaria,FALSE,,,,0.144927536,0.215350071
236,21,6,"kyustendil, bulgaria",bulgarian16,bulgarian,male,1880,bulgaria,FALSE,,,,0.101449275,0.155906895
237,31,9,"sofia, bulgaria",bulgarian17,bulgarian,female,1915,bulgaria,FALSE,,,,0,0
238,20,10,"razlog, bulgaria",bulgarian18,bulgarian,male,2024,bulgaria,FALSE,,,,0.057971014,0.099531117
239,53,42,"sofia, bulgaria",bulgarian2,bulgarian,female,41,bulgaria,FALSE,,,,0.130434783,0.209486166
240,27,10,"sofia, bulgaria",bulgarian3,bulgarian,male,42,bulgaria,FALSE,,,,0.057971014,0.099531117
241,22,20,"plovdiv, bulgaria",bulgarian4,bulgarian,male,43,bulgaria,FALSE,,,,0.188405797,0.283034953
242,23,14,"sofia, bulgaria",bulgarian5,bulgarian,male,44,bulgaria,FALSE,,,,0.028985507,0.057130855
243,27,11,"ruse, bulgaria",bulgarian6,bulgarian,male,557,bulgaria,FALSE,,,,0.130434783,0.232736573
244,18,13,"stara zagora, bulgaria",bulgarian7,bulgarian,male,566,bulgaria,FALSE,,,,0.028985507,0.057130855
245,31,8,"sofia, bulgaria",bulgarian8,bulgarian,female,848,bulgaria,FALSE,,,,0.072463768,0.113995241
246,31,10,"ruse, bulgaria",bulgarian9,bulgarian,female,923,bulgaria,FALSE,,,,0.028985507,0.057130855
247,35,11,"yangon, myanmar",burmese1,burmese,female,758,myanmar,FALSE,,,,0.304347826,0.474900231
248,29,7,"yangon, myanmar",burmese2,burmese,male,1568,myanmar,FALSE,,,,0.217391304,0.359683794
