,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil,new_wer,new_wil
45,45,45.0,11.0,"prishtina, kosovo",albanian7,albanian,female,1403,kosovo,False,,,,0.0,0.0,0.0,0.0
46,46,43.0,9.0,"prishtina, kosovo",albanian8,albanian,female,1404,kosovo,False,,,,0.057971014,0.069243156,0.057971014492753624,0.06924315619967791
47,47,22.0,6.0,"tirana, albania",albanian9,albanian,female,1706,albania,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
48,48,37.0,32.0,"tata, morocco",amazigh1,amazigh,male,601,morocco,False,,,,0.246376812,0.415098421,0.2463768115942029,0.41509842093878435
49,49,39.0,16.0,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,False,,,,0.173913043,0.293425751,0.17391304347826086,0.29342575089266965
50,50,20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,False,,,,0.362318841,0.529198636,0.36231884057971014,0.5291986359761296
51,51,29.0,19.0,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,False,,,,0.231884058,0.4099979,0.2463768115942029,0.43205208989708044
52,52,24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,False,,,,0.115942029,0.18983466,0.14492753623188406,0.22624798711755234
53,53,26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,False,,,,0.246376812,0.359869361,0.2463768115942029,0.35986936109410084
54,54,28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,False,,,,0.101449275,0.166351607,0.10144927536231885,0.16635160680529315
55,55,31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,False,,,,0.231884058,0.308914036,0.2028985507246377,0.27124951037994516
56,56,23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,False,,,,0.275362319,0.445652174,0.2753623188405797,0.44565217391304346
57,57,36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,False,,,,0.188405797,0.31758034,0.17391304347826086,0.307544757033248
58,58,21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,False,,,,0.115942029,0.218441504,0.13043478260869565,0.22960662525879916
59,59,20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,False,,,,0.0,0.0,0.0,0.0
60,60,19.0,10.0,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,False,,,,0.043478261,0.071611253,0.043478260869565216,0.07161125319693096
61,61,23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,False,,,,0.275362319,0.358504958,0.30434782608695654,0.3749535488665924
62,62,52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,False,,,,0.217391304,0.329192547,0.2028985507246377,0.341314849821466
63,63,27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,False,,,,0.347826087,0.542288557,0.34782608695652173,0.5422885572139304
64,64,20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,False,,,,0.347826087,0.536021844,0.17391304347826086,0.2830349531116795
65,65,31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,False,,,,0.173913043,0.268851082,0.17391304347826086,0.26885108170552396
66,66,31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,False,,,,0.115942029,0.218441504,0.11594202898550725,0.21844150388573824
67,67,38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
68,68,30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,False,,,,0.304347826,0.449862906,0.3333333333333333,0.48362120309708156
69,69,40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,False,,,,0.536231884,0.597695128,0.5217391304347826,0.5927889713679746
70,70,38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,False,,,,0.15942029,0.23561704,0.13043478260869565,0.21844150388573824
71,71,26.0,5.0,"cairo, egypt",arabic10,arabic,male,12,egypt,False,,,,0.043478261,0.041666667,0.043478260869565216,0.04166666666666663
72,72,40.0,10.0,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,False,,,,0.057971014,0.086091283,0.07246376811594203,0.09953111679454385
73,73,21.0,10.0,"doha, qatar",arabic101,arabic,male,2160,qatar,False,,,,0.101449275,0.149557166,0.10144927536231885,0.14955716586151369
74,74,22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,False,,,,0.043478261,0.085066163,0.043478260869565216,0.08506616257088839
75,75,30.0,14.0,"monastir, tunisia",arabic11,arabic,female,13,tunisia,False,,,,0.144927536,0.22128488,0.14492753623188406,0.22128487994808566
76,76,32.0,11.0,"baghdad, iraq",arabic12,arabic,male,14,iraq,False,,,,0.057971014,0.086091283,0.057971014492753624,0.08609128271685051
77,77,25.0,15.0,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,False,,,,0.144927536,0.215350071,0.14492753623188406,0.21535007144315177
78,78,47.0,11.0,"amman, jordan",arabic14,arabic,male,428,jordan,False,,,,0.15942029,0.258098892,0.2318840579710145,0.34601449275362317
79,79,40.0,33.0,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,False,,,,0.289855072,0.344814606,0.2898550724637681,0.3448146056841709
80,80,22.0,16.0,"meknes, morocco",arabic16,arabic,male,471,morocco,False,,,,0.15942029,0.279296066,0.15942028985507245,0.27929606625258796
81,81,35.0,15.0,"settat, morocco",arabic17,arabic,male,512,morocco,False,,,,0.043478261,0.070600414,0.043478260869565216,0.0706004140786749
82,82,18.0,6.0,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,False,,,,0.086956522,0.151966874,0.08695652173913043,0.15196687370600415
83,83,43.0,18.0,"khouribga, morocco",arabic19,arabic,male,625,morocco,False,,,,0.15942029,0.251006441,0.2318840579710145,0.34116725421073246
84,84,18.0,2.5,"damascus, syria",arabic2,arabic,male,16,syria,False,,,,0.028985507,0.042650104,0.028985507246376812,0.04265010351966869
85,85,36.0,12.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,False,,,,0.043478261,0.071611253,0.043478260869565216,0.07161125319693096
86,86,46.0,30.0,"beirut, lebanon",arabic21,arabic,female,670,lebanon,False,,,,0.0,0.0,0.0,0.0
87,87,23.0,10.0,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,False,,,,0.15942029,0.268851082,0.15942028985507245,0.26885108170552396
88,88,42.0,13.0,"al mahalla, egypt",arabic23,arabic,male,927,egypt,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
89,89,40.0,7.0,"cairo, egypt",arabic24,arabic,male,970,egypt,False,,,,0.31884058,0.470426949,0.3188405797101449,0.4704269486878182
90,90,38.0,5.0,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),False,,,,0.043478261,0.056133905,0.043478260869565216,0.05613390487854664
91,91,43.0,14.0,"amman, jordan",arabic26,arabic,female,1012,jordan,False,,,,0.217391304,0.322866345,0.21739130434782608,0.31332925086752395
92,92,70.0,10.0,"jerusalem, israel",arabic27,arabic,male,1013,israel,False,,,,0.260869565,0.382527046,0.2318840579710145,0.35072463768115936
93,93,30.0,12.0,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,False,,,,1.739130435,0.740289855,1.7391304347826086,0.7402898550724637
94,94,19.0,17.0,"doha, qatar",arabic29,arabic,male,1116,qatar,False,,,,0.405797101,0.535488666,0.4057971014492754,0.5354886659234486
95,95,24.0,9.0,"doha, qatar",arabic3,arabic,male,17,qatar,False,,,,0.231884058,0.350724638,0.2318840579710145,0.35072463768115936
96,96,19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,False,,,,0.173913043,0.23684733,0.17391304347826086,0.23684732975977774
97,97,47.0,12.0,"baghdad, iraq",arabic31,arabic,female,1181,iraq,False,,,,0.188405797,0.279296066,0.2028985507246377,0.30351966873706004
98,98,42.0,12.0,"baghdad, iraq",arabic32,arabic,male,1203,iraq,False,,,,0.115942029,0.163911002,0.11594202898550725,0.16391100224535615
99,99,28.0,11.0,"baghdad, iraq",arabic33,arabic,female,1204,iraq,False,,,,0.15942029,0.254658385,0.15942028985507245,0.24045723617064707
100,100,34.0,6.0,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
101,101,56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,False,,,,0.260869565,0.39110306,0.2608695652173913,0.3911030595813205
102,102,36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,False,,,,0.130434783,0.18983466,0.13043478260869565,0.1898346601347214
103,103,18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,False,,,,0.072463768,0.113995241,0.07246376811594203,0.11399524118537752
104,104,19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,False,,,,0.028985507,0.043265132,0.028985507246376812,0.04326513213981242
105,105,22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,False,,,,0.260869565,0.396273292,0.2463768115942029,0.3737060041407868
106,106,19.0,6.0,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,False,,,,0.130434783,0.204140787,0.13043478260869565,0.20414078674948244
107,107,19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,False,,,,0.173913043,0.293425751,0.17391304347826086,0.29342575089266965
108,108,25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,False,,,,0.173913043,0.261266627,0.17391304347826086,0.2612666269604923
109,109,21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,False,,,,0.449275362,0.632916419,0.5942028985507246,0.7209661835748792
110,110,29.0,8.0,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,False,,,,0.086956522,0.154092072,0.07246376811594203,0.12702472293265132
111,111,29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,False,,,,0.057971014,0.098136646,0.057971014492753624,0.09813664596273286
112,112,32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,False,,,,0.130434783,0.229606625,0.13043478260869565,0.22960662525879916
113,113,28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,False,,,,0.15942029,0.201086957,0.15942028985507245,0.20108695652173914
114,114,39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,False,,,,1.0,1.0,0.4057971014492754,0.5487661574618097
115,115,29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,False,,,,0.246376812,0.396273292,0.2463768115942029,0.3962732919254658
116,116,26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,False,,,,0.057971014,0.11258139,0.07246376811594203,0.12702472293265132
117,117,19.0,15.0,"casablanca, morocco",arabic5,arabic,female,19,morocco,False,,,,0.072463768,0.125258799,0.08695652173913043,0.15196687370600415
118,118,36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,False,,,,0.231884058,0.368760064,0.2318840579710145,0.3687600644122383
119,119,23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,False,,,,0.028985507,0.042650104,0.028985507246376812,0.04265010351966869
120,120,21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,False,,,,0.0,0.0,0.0,0.0
121,121,36.0,17.0,"rabat, morocco",arabic53,arabic,male,1526,morocco,False,,,,0.115942029,0.146886016,0.15942028985507245,0.22267920094007054
122,122,22.0,7.0,"baghdad, iraq",arabic54,arabic,male,1565,iraq,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
123,123,70.0,33.0,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,False,,,,0.144927536,0.240457236,0.15942028985507245,0.25100644122383253
124,124,43.0,12.0,"ain defla, algeria",arabic56,arabic,male,1677,algeria,False,,,,0.043478261,0.085066163,0.043478260869565216,0.08506616257088839
125,125,28.0,17.0,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,False,,,,0.086956522,0.137579098,0.08695652173913043,0.13757909777505617
126,126,34.0,9.0,"baghdad, iraq",arabic58,arabic,male,1700,iraq,False,,,,0.173913043,0.289446826,0.17391304347826086,0.2894468258828332
127,127,55.0,9.0,"irbid, jordan",arabic59,arabic,male,1702,jordan,False,,,,0.043478261,0.070600414,0.043478260869565216,0.0706004140786749
128,128,21.0,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,False,,,,0.188405797,0.31758034,0.18840579710144928,0.3175803402646503
129,129,60.0,14.0,"cairo, egypt",arabic60,arabic,male,1711,egypt,False,,,,0.057971014,0.099531117,0.057971014492753624,0.09953111679454385
130,130,20.0,7.0,"manama, bahrain",arabic61,arabic,male,1753,bahrain,False,,,,0.072463768,0.125258799,0.0,0.0
131,131,19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,False,,,,0.130434783,0.218441504,0.13043478260869565,0.21844150388573824
132,132,28.0,10.0,"bani walid, libya",arabic63,arabic,female,1769,libya,False,,,,0.086956522,0.123188406,0.08695652173913043,0.12318840579710144
133,133,23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,False,,,,0.043478261,0.071611253,0.043478260869565216,0.07161125319693096
134,134,32.0,10.0,"samail, oman",arabic65,arabic,female,1778,oman,False,,,,0.15942029,0.279296066,0.15942028985507245,0.27929606625258796
135,135,50.0,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,False,,,,0.130434783,0.232736573,0.13043478260869565,0.23273657289002558
136,136,43.0,22.0,"nasriah, iraq",arabic67,arabic,male,1785,iraq,False,,,,0.15942029,0.240457236,0.15942028985507245,0.24045723617064707
137,137,20.0,6.0,"london, uk",arabic68,arabic,male,1805,uk,False,,,,0.086956522,0.137579098,0.10144927536231885,0.15196687370600415
138,138,55.0,15.0,"kerma, sudan",arabic69,arabic,female,1810,sudan,False,,,,0.289855072,0.464659978,0.37681159420289856,0.509899979587671
139,139,18.0,15.0,"casablanca, morocco",arabic7,arabic,female,21,morocco,False,,,,0.072463768,0.113995241,0.07246376811594203,0.11399524118537752
140,140,47.0,16.0,"casablanca, morocco",arabic70,arabic,male,1827,morocco,False,,,,0.188405797,0.283034953,0.18840579710144928,0.2830349531116795
141,141,29.0,21.0,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
142,142,20.0,11.0,"baghdad, iraq",arabic72,arabic,female,1832,iraq,False,,,,0.144927536,0.243856333,0.14492753623188406,0.2438563327032136
143,143,47.0,7.0,"nazareth, israel",arabic73,arabic,female,1841,israel,False,,,,0.014492754,0.028775467,0.043478260869565216,0.07161125319693096
144,144,18.0,4.0,"alexandria, egypt",arabic74,arabic,male,1870,egypt,False,,,,0.115942029,0.180733163,0.11594202898550725,0.18073316283034957
145,145,26.0,2.0,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,False,,,,0.028985507,0.042650104,0.028985507246376812,0.04265010351966869
146,146,25.0,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,False,,,,0.057971014,0.083690549,0.057971014492753624,0.08369054909165141
147,147,18.0,4.0,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,False,,,,0.043478261,0.070600414,0.043478260869565216,0.0706004140786749
148,148,19.0,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,False,,,,0.0,0.0,0.0,0.0
149,149,24.0,13.0,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,False,,,,0.130434783,0.209486166,0.13043478260869565,0.20948616600790515
150,150,21.0,17.0,"casablanca, morocco",arabic8,arabic,male,22,morocco,False,,,,0.086956522,0.14146658,0.08695652173913043,0.14146658014276448
151,151,25.0,11.0,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,False,,,,0.289855072,0.380434783,0.30434782608695654,0.4019832189168574
152,152,22.0,17.0,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,False,,,,0.043478261,0.085066163,0.043478260869565216,0.08506616257088839
153,153,42.0,12.0,"damascus, syria",arabic82,arabic,male,1917,syria,False,,,,0.115942029,0.166351607,0.08695652173913043,0.12525879917184268
154,154,22.0,21.0,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,False,,,,0.217391304,0.369240753,0.2318840579710145,0.3831796223100572
155,155,26.0,12.0,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,False,,,,0.101449275,0.151966874,0.07246376811594203,0.09813664596273286
156,156,24.0,14.0,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,False,,,,0.043478261,0.071611253,0.043478260869565216,0.07161125319693096
157,157,28.0,3.0,"cairo, egypt",arabic86,arabic,male,1964,egypt,False,,,,0.0,0.0,0.0,0.0
158,158,49.0,10.0,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,False,,,,0.115942029,0.192606595,0.11594202898550725,0.1926065952530981
159,159,19.0,4.0,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,False,,,,0.028985507,0.057130855,0.028985507246376812,0.05713085486242386
160,160,35.0,19.0,"baghdad, iraq",arabic89,arabic,female,2022,iraq,False,,,,0.130434783,0.18983466,0.13043478260869565,0.1898346601347214
161,161,28.0,4.0,"jerusalem, israel",arabic9,arabic,female,23,israel,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
162,162,23.0,12.0,"tripoli, libya",arabic90,arabic,female,2036,libya,False,,,,0.246376812,0.363689777,0.2463768115942029,0.3911030595813205
163,163,57.0,12.0,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,False,,,,0.449275362,0.577325261,0.4492753623188406,0.5773252614199229
164,164,36.0,10.0,"baghdad, iraq",arabic92,arabic,male,2087,iraq,False,,,,0.130434783,0.22128488,0.13043478260869565,0.22128487994808566
165,165,27.0,10.0,"baghdad, iraq",arabic93,arabic,female,2112,iraq,False,,,,0.115942029,0.17826087,0.11594202898550725,0.17826086956521747
166,166,24.0,9.0,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,False,,,,0.072463768,0.110838947,0.07246376811594203,0.11083894672382122
167,167,31.0,10.0,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,False,,,,0.101449275,0.1685053,0.014492753623188406,0.028775467338794325
168,168,21.0,7.0,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,False,,,,0.347826087,0.312001303,0.08695652173913043,0.13757909777505617
169,169,19.0,4.0,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,False,,,,0.173913043,0.31758034,0.17391304347826086,0.3175803402646503
170,170,19.0,4.0,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,False,,,,0.231884058,0.359683794,0.2318840579710145,0.3596837944664031
171,171,25.0,16.0,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,False,,,,0.072463768,0.139676539,0.07246376811594203,0.13967653854232298
172,172,19.0,9.0,"yerevan, armenia",armenian1,armenian,female,24,armenia,False,,,,0.188405797,0.321652607,0.18840579710144928,0.32165260653255456
173,173,44.0,7.0,"tehran, iran",armenian2,armenian,female,435,iran,False,,,,0.057971014,0.099531117,0.07246376811594203,0.11258139046418825
174,174,54.0,12.0,"yerevan, armenia",armenian3,armenian,female,849,armenia,False,,,,0.101449275,0.180733163,0.10144927536231885,0.18073316283034957
175,175,27.0,12.0,"tbilisi, republic of georgia",armenian4,armenian,female,947,republic of georgia,False,,,,0.101449275,0.1685053,0.11594202898550725,0.1951113995241185
176,176,21.0,15.0,"yerevan, armenia",armenian5,armenian,female,997,armenia,False,,,,0.043478261,0.057754705,0.043478260869565216,0.05775470473718369
177,177,23.0,11.0,"armavir, russia",armenian6,armenian,male,1228,russia,False,,,,0.260869565,0.4099979,0.2608695652173913,0.40999789960092425
178,178,31.0,10.0,"tehran, iran",armenian7,armenian,male,1505,iran,False,,,,0.086956522,0.151966874,0.08695652173913043,0.15196687370600415
179,179,50.0,35.0,"yerevan, armenia",armenian8,armenian,female,1710,armenia,False,,,,0.246376812,0.378516624,0.2463768115942029,0.3785166240409207
180,180,42.0,1.0,"accra, ghana",ashanti1,ashanti,female,1977,ghana,False,,,,0.144927536,0.23561704,0.15942028985507245,0.2613087395696092
181,181,24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan,False,,,,0.043478261,0.085066163,0.043478260869565216,0.08506616257088839
182,182,42.0,40.0,"baku, azerbaijan",azerbaijani2,azerbaijani,female,434,azerbaijan,False,,,,0.31884058,0.443935927,0.34782608695652173,0.4973913043478261
183,183,31.0,16.0,"baku, azerbaijan",azerbaijani3,azerbaijani,male,1791,azerbaijan,False,,,,0.115942029,0.182916118,0.11594202898550725,0.1829161176987264
184,184,40.0,30.0,"douala, cameroon",bafang1,bafang,male,26,cameroon,False,,,,0.260869565,0.428853755,0.2608695652173913,0.42885375494071154
